address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans,shortest distance to whole foods,shortest distance to parks
817 N Humboldt St APT 206,San Mateo,CA,94401,37.580699,-122.331203,2,983,735000,0.747065643,0.955715172,0.323273201
228 Athens St,San Francisco,CA,94112,37.724359,-122.426714,1,1125,888000,0.716601081,1.182118116,0.331565301
117 Lake Dr,San Bruno,CA,94066,37.619006,-122.451252,4,2080,1437000,0.760678652,1.22997259,0.381763926
1496 La Playa St,San Francisco,CA,94122,37.758579,-122.50883,2,2030,1399000,0.760937389,1.409284573,0.409401589
841 Arlington Ave,Oakland,CA,94608,37.842374,-122.271727,4,2000,998000,0.745846064,1.527825922,0.375612053
4200 Roderick Rd,Oakland,CA,94605,37.749882,-122.131238,4,2620,899000,0.764644706,1.532933163,0.099754155
1356 Holman Rd,Oakland,CA,94610,37.807175,-122.227311,2,1135,899000,0.900062447,1.572965267,0.409934427
1943 Bandoni Ave,San Lorenzo,CA,94580,37.667215,-122.14405,3,1516,798000,0.941557893,1.585325641,0.154209531
1755 20th Ave,San Francisco,CA,94122,37.755013,-122.477932,2,1045,799000,0.955491477,1.603079383,0.352121588
7112 Sayre Dr,Oakland,CA,94611,37.833189,-122.194767,3,2266,1099000,0.980438092,1.705179275,0.413118515
575 58th St,Oakland,CA,94609,37.843355,-122.264038,3,1459,929000,0.698121152,1.881070605,0.148214035
6427 Shattuck Ave,Oakland,CA,94609,37.850036,-122.266121,0,5555,2350000,0.295865529,1.900352537,0.186491664
1059 Vallejo St,San Francisco,CA,94133,37.797649,-122.414674,2,2777,6500000,0.745116259,0.706607917,0.337290614
1476 79th Ave,Oakland,CA,94621,37.757615,-122.180779,3,3064,1075000,0.886075537,1.3954275,0.346929167
1122 Page St APT 4,San Francisco,CA,94117,37.772165,-122.439365,2,1000,1295000,0.9258551,0.719197908,0.283208591
5402 Roberts Ave,Oakland,CA,94619,37.777582,-122.191324,2,1032,629000,0.927654154,0.756539307,0.362278612
833 Monterey Ct,San Leandro,CA,94578,37.697354,-122.144276,4,2324,798000,0.972551118,1.471772504,0.086637896
2355 Francisco St,San Francisco,CA,94123,37.80051,-122.44391,0,5325,3400000,0.982306886,1.330349854,0.276715619
4633 Fairfax Ave,Oakland,CA,94601,37.779551,-122.204849,0,4620,1600000,1.001913535,1.517610807,0.204154652
1045 1049 14th St,San Francisco,CA,94114,37.767001,-122.436986,3,3512,1600000,0.958826424,0.547128982,0.145892948
501 Brighton Rd,Pacifica,CA,94044,37.631036,-122.484116,2,819,699000,1.011808698,0.885168146,0.012499228
